msa_match_key,msa_name,indian_pop,indian_pop_cagr,advanced_degrees,advanced_degree_cagr,median_home_value,median_income,indian_pop_hybrid,msa_name_zillow,price_start,price_end,appreciation_pct,appreciation_cagr,algorithm_score,algorithm_rank
beaumont,"Beaumont-Port Arthur, TX Metro Area",78,21.026546840831607,12315,2.757339539824377,108100,51094.0,39.78421579075605,"Beaumont, TX",150026.155238186,173294.3305861921,15.509412549475021,2.925616033674494,39.78421579075605,302.0
beaver dam,"Beaver Dam, WI Micro Area",0,-100.0,2528,-0.8808747815374551,159100,58870.0,-0.0,"Beaver Dam, WI",178259.98547059004,264881.8570355185,48.59299821900842,8.242962298787425,-0.0,1022.0
beckley,"Beckley, WV Metro Area",0,-100.0,4604,4.323340613615834,99200,41471.0,-0.0,"Beckley, WV",90937.42553986836,141287.66799228967,55.36800954448287,9.212492874668921,-0.0,1022.0
bedford,"Bedford, IN Micro Area",0,0.0,1690,8.750295689131061,115700,52092.0,0.0,"Bedford, IN",117357.02134864568,188744.390222091,60.82922696322264,9.969688505758988,0.0,1022.0
beeville,"Beeville, TX Micro Area",0,0.0,688,0.9378632248684626,88200,42032.0,0.0,"Beeville, TX",156596.3926613733,168664.70485443607,7.7066348642905735,1.4958982417746958,0.0,1022.0
bellefontaine,"Bellefontaine, OH Micro Area",20,3.5744168651286268,1401,-1.634355516055741,129100,55150.0,4.650423558539559,"Bellefontaine, OH",145755.01109249154,219061.8085244967,50.294529760961005,8.489731604921413,4.650423558539559,519.0
bellingham,"Bellingham, WA Metro Area",214,-11.42978771079789,13890,3.7684651516810774,318400,59285.0,-26.63613470770072,"Bellingham, WA",378881.4072815887,574906.9725613202,51.7379743403569,8.697325004058264,-26.63613470770072,1713.0
bemidji,"Bemidji, MN Micro Area",11,30.059144685138705,2523,5.52654889749864,157000,47410.0,31.303373397216188,"Bemidji, MN",161805.34292115315,240226.86358434227,48.4665828998017,8.224538513433789,31.303373397216188,350.0
bend,"Bend-Redmond, OR Metro Area",173,93.17234583592099,13237,5.430866989927274,336400,63680.0,208.52400551745143,"Bend, OR",412356.6199881293,668014.4448524275,61.99920468638478,10.129223342744043,208.52400551745143,99.0
bennettsville,"Bennettsville, SC Micro Area",0,-100.0,610,4.996077137401511,64000,34203.0,-0.0,"Bennettsville, SC",130913.48329054235,128386.39292474918,-1.9303514827305412,-0.3890863018411461,-0.0,1022.0
bennington,"Bennington, VT Micro Area",5,35.72088082974532,2939,4.64152788252421,209100,53040.0,24.967824228453498,"Bennington, VT",241566.2554283054,374293.7631473281,54.944556508396516,9.152896485533347,24.967824228453498,384.0
berlin,"Berlin, NH-VT Micro Area",44,3.228011545636722,1438,-0.5728814976735608,126000,44745.0,5.305084214404985,"Berlin, NH",129989.613354411,234532.3232867654,80.42389482867624,12.527536378520221,5.305084214404985,515.0
big rapids,"Big Rapids, MI Micro Area",0,-100.0,2103,-1.6406463177906616,117700,44460.0,-0.0,"Big Rapids, MI",135778.25629035957,200307.08928999025,47.52515959671542,8.08693918493313,-0.0,1022.0
big spring,"Big Spring, TX Micro Area",8,0.0,776,2.9589346605671363,96100,51961.0,0.0,"Big Spring, TX",146345.79535803848,152348.7397570058,4.101890583382306,0.807239765283696,0.0,1022.0
big stone gap,"Big Stone Gap, VA Micro Area",5,7.721734501594191,1746,0.2301504090265194,82700,34649.0,5.397260798060878,"Big Stone Gap, VA",89685.75585381842,123230.3428916632,37.40235750760703,6.561134819350523,5.397260798060878,511.5
billings,"Billings, MT Metro Area",12,-46.64382132025903,8545,4.954956973047775,217700,58878.0,-50.33713721281991,"Billings, MT",250189.6691409028,384462.4427773696,53.668392502988006,8.972498804743601,-50.33713721281991,1853.0
binghamton,"Binghamton, NY Metro Area",31,19.866105802463508,16931,-0.36159258740191547,116000,52779.0,29.62754919945285,"Binghamton, NY",115323.3175191089,169456.1466185774,46.940055371281495,8.00106543286969,29.62754919945285,356.0
birmingham,"Birmingham-Hoover, AL Metro Area",287,23.870621466046504,67413,1.782970446291765,156900,54291.0,58.67116836518554,"Birmingham, AL",169550.2552439531,250723.38522643308,47.875557524632484,8.138235531154091,58.67116836518554,248.0
bismarck,"Bismarck, ND Metro Area",26,-6.687221079568795,6183,0.6277799663078953,236500,68474.0,-9.462239599578487,"Bismarck, ND",250962.77390721903,314161.28039975837,25.182422679111703,4.5944571977064586,-9.462239599578487,1554.0
bloomington,"Bloomington, IL Metro Area",223,13.380354552795781,14940,4.043378869624004,161600,64646.0,31.42115166563893,"Bloomington, IL",167485.05517576757,224700.41516876945,34.16147185965763,6.05363603496889,31.42115166563893,347.5
bloomington,"Bloomington, IL Metro Area",223,13.380354552795781,14940,4.043378869624004,161600,64646.0,31.42115166563893,"Bloomington, IN",181771.71144065648,273036.26363767276,50.20833631024686,8.477285043866644,31.42115166563893,347.5
bloomington,"Bloomington, IN Metro Area",8,-62.60620707465443,16645,7.859610686299856,159800,47365.0,-56.539038732664594,"Bloomington, IL",167485.05517576757,224700.41516876945,34.16147185965763,6.05363603496889,-56.539038732664594,1887.0
bloomington,"Bloomington, IN Metro Area",8,-62.60620707465443,16645,7.859610686299856,159800,47365.0,-56.539038732664594,"Bloomington, IN",181771.71144065648,273036.26363767276,50.20833631024686,8.477285043866644,-56.539038732664594,1887.0
bloomington,"Bloomington, IL Metro Area",223,75.86267255696116,14940,-3.8395384832805357,161600,64646.0,178.14868288934213,"Bloomington, IL",167485.05517576757,224700.41516876945,34.16147185965763,6.05363603496889,178.14868288934213,105.5
bloomington,"Bloomington, IL Metro Area",223,75.86267255696116,14940,-3.8395384832805357,161600,64646.0,178.14868288934213,"Bloomington, IN",181771.71144065648,273036.26363767276,50.20833631024686,8.477285043866644,178.14868288934213,105.5
bloomington,"Bloomington, IN Metro Area",8,-41.999013966474664,16645,-0.3124460653556205,159800,47365.0,-37.92888897665806,"Bloomington, IL",167485.05517576757,224700.41516876945,34.16147185965763,6.05363603496889,-37.92888897665806,1789.5
