Rank,Metropolitan Area,State,Investment Score (v2),Appreciation Score,Cash Flow Score,Boom Score (Legacy v1),Median Home Value,Price-to-Income Ratio,1-Year Price Change (%),3-Year Price CAGR (%),Indian Pop (2018),Indian Pop (2023),Indian Pop CAGR (%),Tech Wage CAGR (%),Latest Tech Wages ($),Tech Employment,Median Income,Supply Constraint (0-100),Price Momentum (0-100),Affordability Gap (0-100),Price-to-Rent (0-100),Rent Growth (0-100),Unemployment Rate (%),Zillow Home Value,Zillow Monthly Rent,Price-to-Rent Ratio,1-Year Rent Change (%),Net Migration (Households),Avg AGI Inflow ($K),AGI Ratio (In/Out),Migration Score (0-100)
1,"Pittsburgh, PA Metro Area",PA,63.902234075726895,58.828626270901644,68.97584188055214,80.08488842637378,204500,2.765681209596711,1.2529012126369983,2.760609936794789,446,22602,119.26151086484626,0.4544658899928722,323750290,10976,73942,1.2493492972410203,66.25603823725413,88.13265469973352,93.44060741930443,81.12195505133823,4.1,221008.5721627516,1471.8437845809906,12.513135705366826,3.7539354912466347,-4270.0,96.23524055243588,0.9179889847816731,68.34640316731486
2,"Rochester, NY Metro Area",NY,63.34033793361778,64.59814984017305,62.082526027062514,67.02762901482737,190100,2.553803165050109,2.6692079761779417,6.740922422427653,470,6251,67.79164360036872,-10.56490559534743,125710806,4784,74438,0.0,87.01353462326526,98.78242548078462,71.7712625254428,87.68934920690474,4.2,264771.0348680236,1490.4941783362835,14.803313710555482,4.277995477859681,-3473.0,74.93845260560313,0.9492373776025803,68.81983178235235
3,"Lansing-East Lansing, MI Metro Area",MI,62.207322699088294,62.92843567776231,61.48620972041428,67.4292610860452,205400,2.897610247439551,2.876198699338071,4.918361035220276,395,5319,68.20797361201134,2.2977914954505962,47090046,1965,70886,1.3274336283185841,82.65818278654912,82.28822483330725,69.19382958760694,98.69341089571869,5.1,236852.71586853833,1304.3059144580973,15.132743096222692,5.156089328286041,-865.0,63.587951122477975,0.9397128564622201,70.7070148427078
4,"Bloomington, IL Metro Area",IL,61.375983262056586,67.2676307742402,55.48433574987297,69.84061216786247,198300,2.531629409286471,3.9603987118403197,5.316576607966672,223,5285,88.34236768881931,0.0,21344427,786,78329,0.7114350164844698,90.40790366802514,100.0,67.78700751208203,70.21611452357016,4.4,249990.02279673028,1359.9290909090907,15.318814810999688,2.883679419263826,-635.0,80.39644970414201,0.8804313826775857,70.89983043270345
5,"Hartford-West Hartford-East Hartford, CT Metro Area",CT,61.242277044470235,65.97579682035,56.50875726859047,68.02815643925643,309300,3.332148282214537,4.386699935792373,7.6027811608521345,314,30037,148.9690609709189,0.2117787178268271,360559291,11046,92823,10.341835849384001,100.0,66.31077907763155,56.6317091283348,72.58705625850837,3.8,377749.6322446456,1854.576864420982,16.973756453181704,3.0728740472151403,-3672.0,84.68534449352863,0.8452654168760694,68.96638360117213
6,"Manchester-Nashua, NH Metro Area",NH,61.01445895696469,61.63260173571696,60.39631617821241,54.11404305515293,385500,3.8382651638854592,2.403358041579587,5.711020120017984,122,6006,117.99428061852666,-0.2622950496679932,158286549,4251,100436,16.952975880617736,82.24818029805189,52.26210381210738,39.3063263431958,91.54978458876974,3.0,503488.3739759787,2057.143355274862,20.39593613659081,4.586047601216086,970.0,100.5935848149928,0.9565698708084507,72.02958499293366
7,"New Haven, CT Metro Area",CT,60.0548681143225,60.5897302141929,59.52000601445211,50.83986236079872,328300,3.8056708320775274,3.5792502365855343,6.7687469943978895,184,5169,94.85777617455841,-27.842835718023252,63103729,1810,86266,11.990282838799237,92.57666893695705,53.054276254704455,58.944903516369976,83.97828486676453,3.8,386135.915232952,1938.218401213541,16.601840595431515,3.9818627527109083,-1224.0,85.68280376380744,0.9442905040124004,70.446440221137
8,"Chicago-Naperville-Elgin, IL-IN Metro Area",IL,59.85274347836472,49.20445476639108,70.50103219033836,45.442446916649274,301900,3.39786156443444,3.405287294738539,4.95490829817864,6602,233793,104.09445083729443,-100.0,0,0,88850,9.699809127190699,85.95513198247647,64.25030571923128,82.18451575534105,93.95413489674687,4.4,334511.78673974896,2048.71152452408,13.606592189590025,4.777908141388411,-34038.0,94.47328226528263,0.6778711040462955,53.79388029149712
9,"Atlantic City-Hammonton, NJ Metro Area",NJ,59.845446889375665,62.35277816683101,57.33811561192033,67.73203896182568,302600,3.7543424317617866,3.1626149441341687,6.828680692929434,91,6405,134.150747389574,3.1647257494435976,26945554,903,80600,9.760541384695472,90.25309898619932,54.329647056376885,73.5303969458349,73.15135293786955,5.2,369166.33331587375,2109.051184926185,14.586588191662525,3.117903369839418,-980.0,107.90613359821207,1.0030186219994948,70.57777097729252
10,"Albany-Schenectady-Troy, NY Metro Area",NY,58.742978228138114,62.42140614951471,55.064550306761525,65.30975662376581,268400,3.118319546426248,3.500139218420231,4.993240104128116,169,14479,143.54003981414158,-5.948065571641569,189727983,6270,86072,6.793336803748049,86.64385823407483,73.61653192553571,47.74702033537672,88.45414816717617,4.2,352656.5113372632,1582.4069264069265,18.57173532358596,4.339024330915775,-3101.0,129.09057273938137,1.1326526241415011,68.65598158301071
